Datum,/apple-aktie,/apple-aktie,/wirecard-aktie,/wirecard-aktie
30.09.19,30.09.19,"204,90",30.09.19,"146,75"
27.09.19,27.09.19,"201,25",27.09.19,"149,90"
26.09.19,26.09.19,"201,05",26.09.19,"148,10"
25.09.19,25.09.19,"200,00",25.09.19,"145,75"
24.09.19,24.09.19,"199,98",24.09.19,"149,30"
23.09.19,23.09.19,"198,96",23.09.19,"145,50"
20.09.19,20.09.19,"201,25",20.09.19,"147,95"
19.09.19,19.09.19,"201,65",19.09.19,"149,90"
18.09.19,18.09.19,"200,50",18.09.19,"158,30"
17.09.19,17.09.19,"199,20",17.09.19,"152,80"
16.09.19,16.09.19,"199,88",16.09.19,"153,65"
13.09.19,13.09.19,"197,60",13.09.19,"149,85"
12.09.19,12.09.19,"204,20",12.09.19,"151,00"
11.09.19,11.09.19,"201,25",11.09.19,"152,30"
10.09.19,10.09.19,"192,98",10.09.19,"149,85"
09.09.19,09.09.19,"195,54",09.09.19,"156,90"
06.09.19,06.09.19,"192,94",06.09.19,"157,30"
05.09.19,05.09.19,"192,68",05.09.19,"157,50"
04.09.19,04.09.19,"188,72",04.09.19,"151,05"
03.09.19,03.09.19,"187,18",03.09.19,"144,50"
02.09.19,02.09.19,"190,00",02.09.19,"144,20"
30.08.19,30.08.19,"189,24",30.08.19,"145,10"
29.08.19,29.08.19,"188,30",29.08.19,"143,35"
28.08.19,28.08.19,"185,28",28.08.19,"142,55"
27.08.19,27.08.19,"184,92",27.08.19,"144,75"
26.08.19,26.08.19,"185,84",26.08.19,"144,50"
23.08.19,23.08.19,"184,12",23.08.19,"145,10"
22.08.19,22.08.19,"191,54",22.08.19,"143,50"
21.08.19,21.08.19,"192,34",21.08.19,"144,65"
20.08.19,20.08.19,"191,52",20.08.19,"141,00"
19.08.19,19.08.19,"191,08",19.08.19,"141,00"
16.08.19,16.08.19,"185,80",16.08.19,"138,65"
15.08.19,15.08.19,"181,52",15.08.19,"134,50"
14.08.19,14.08.19,"183,58",14.08.19,"138,10"
13.08.19,13.08.19,"185,92",13.08.19,"141,45"
12.08.19,12.08.19,"179,20",12.08.19,"142,25"
09.08.19,09.08.19,"177,98",09.08.19,"144,75"
08.08.19,08.08.19,"180,16",08.08.19,"147,75"
07.08.19,07.08.19,"175,20",07.08.19,"147,25"
06.08.19,06.08.19,"173,84",06.08.19,"150,65"
05.08.19,05.08.19,"174,42",05.08.19,"145,55"
02.08.19,02.08.19,"182,56",02.08.19,"149,05"
01.08.19,01.08.19,"196,18",01.08.19,"151,90"
31.07.19,31.07.19,"195,92",31.07.19,"151,60"
30.07.19,30.07.19,"186,66",30.07.19,"147,50"
29.07.19,29.07.19,"188,88",29.07.19,"150,00"
26.07.19,26.07.19,"187,42",26.07.19,"151,55"
25.07.19,25.07.19,"186,40",25.07.19,"150,00"
24.07.19,24.07.19,"186,50",24.07.19,"152,60"
23.07.19,23.07.19,"186,48",23.07.19,"150,10"
22.07.19,22.07.19,"183,58",22.07.19,"150,75"
