Kürzel,/thyssenkrupp-aktie,/thyssenkrupp-aktie,/1-1_drillisch-aktie,/1-1_drillisch-aktie,/aixtron-aktie,/aixtron-aktie,/bechtle-aktie,/bechtle-aktie,/cancom-aktie,/cancom-aktie,/carl_zeiss_meditec-aktie,/carl_zeiss_meditec-aktie,/compugroup_medical-aktie,/compugroup_medical-aktie,/deutsche_telekom-aktie,/deutsche_telekom-aktie,/evotec-aktie,/evotec-aktie,/freenet-aktie,/freenet-aktie,/infineon-aktie,/infineon-aktie,/isra_vision-aktie,/isra_vision-aktie,/jenoptik-aktie,/jenoptik-aktie,/morphosys-aktie,/morphosys-aktie,/nemetschek-aktie,/nemetschek-aktie,/new_work_se-aktie,/new_work_se-aktie,/nordex-aktie,/nordex-aktie,/pfeiffer_vacuum-aktie,/pfeiffer_vacuum-aktie,/qiagen-aktie,/qiagen-aktie,/rib_software-aktie,/rib_software-aktie,/s-t_ag-aktie,/s-t_ag-aktie,/sap-aktie,/sap-aktie,/sartorius_vz-aktie,/sartorius_vz-aktie,/siemens_healthineers-aktie,/siemens_healthineers-aktie,/siltronic-aktie,/siltronic-aktie,/software_ag_o-n-aktie,/software_ag_o-n-aktie,/teamviewer-aktie,/teamviewer-aktie,/telefonica_deutschland_holding-aktie,/telefonica_deutschland_holding-aktie,/united_internet-aktie,/united_internet-aktie,/varta-aktie,/varta-aktie,/wirecard-aktie,/wirecard-aktie
Datum,ThyssenKrupp,ThyssenKrupp,1&1 Drillisch,1&1 Drillisch,Aixtron,Aixtron,Bechtle,Bechtle,Cancom,Cancom,Carl Zeiss Meditec,Carl Zeiss Meditec,CompuGroup Medical,CompuGroup Medical,Dt. Telekom,Dt. Telekom,Evotec,Evotec,Freenet,Freenet,Infineon,Infineon,Isra Vision,Isra Vision,Jenoptik,Jenoptik,MorphoSys,MorphoSys,Nemetschek,Nemetschek,New Work SE,New Work SE,Nordex,Nordex,Pfeiffer Vacuum,Pfeiffer Vacuum,Qiagen,Qiagen,RIB Software,RIB Software,S&T AG,S&T AG,SAP,SAP,Sartorius Vz,Sartorius Vz,Siemens Healthineers,Siemens Healthineers,Siltronic,Siltronic,Software,Software,TeamViewer,TeamViewer,Telefonica Deutschland Holding,Telefonica Deutschland Holding,Utd. Internet,Utd. Internet,Varta,Varta,Wirecard,Wirecard
20.04.20,20.04.20,"5,738",20.04.20,"19,785",20.04.20,"9,244",20.04.20,"133,60",20.04.20,"45,08",20.04.20,"94,15",20.04.20,"71,55",20.04.20,"12,67",20.04.20,"23,51",20.04.20,"16,19",20.04.20,"16,51",20.04.20,"49,90",20.04.20,"18,02",20.04.20,"95,96",20.04.20,"58,30",20.04.20,"194,00",20.04.20,"7,635",20.04.20,"150,80",20.04.20,"37,50",20.04.20,"28,86",20.04.20,"18,79",20.04.20,"113,74",20.04.20,"245,00",20.04.20,"38,195",20.04.20,"78,00",20.04.20,"29,72",20.04.20,"41,875",20.04.20,"2,529",20.04.20,"30,00",20.04.20,"72,60",20.04.20,"121,64"
19.04.20,17.04.20,"5,89",17.04.20,"19,72",17.04.20,"9,482",17.04.20,"133,00",17.04.20,"44,66",17.04.20,"92,90",17.04.20,"70,55",17.04.20,"12,51",17.04.20,"23,53",17.04.20,"16,29",17.04.20,"16,55",17.04.20,"49,84",17.04.20,"18,46",17.04.20,"95,74",17.04.20,"56,85",17.04.20,"203,00",17.04.20,"7,485",17.04.20,"146,40",17.04.20,"37,23",17.04.20,"28,82",17.04.20,"18,90",17.04.20,"113,06",17.04.20,"230,00",17.04.20,"37,115",17.04.20,"79,60",17.04.20,"29,50",17.04.20,"39,75",17.04.20,"2,522",17.04.20,"30,16",17.04.20,"71,80",17.04.20,"120,20"
18.04.20,16.04.20,"5,392",16.04.20,"19,305",16.04.20,"9,60",16.04.20,"136,50",16.04.20,"44,56",16.04.20,"91,45",16.04.20,"68,80",16.04.20,"12,21",16.04.20,"23,40",16.04.20,"15,905",16.04.20,"15,532",16.04.20,"49,84",16.04.20,"17,50",16.04.20,"92,54",16.04.20,"55,20",16.04.20,"213,00",16.04.20,"7,40",16.04.20,"143,60",16.04.20,"36,90",16.04.20,"28,86",16.04.20,"18,78",16.04.20,"110,10",16.04.20,"225,00",16.04.20,"37,365",16.04.20,"79,94",16.04.20,"28,42",16.04.20,"40,945",16.04.20,"2,46",16.04.20,"29,08",16.04.20,"70,80",16.04.20,"118,88"
17.04.20,15.04.20,"5,332",15.04.20,"18,98",15.04.20,"9,30",15.04.20,"132,60",15.04.20,"43,32",15.04.20,"90,95",15.04.20,"68,80",15.04.20,"12,195",15.04.20,"22,76",15.04.20,"16,01",15.04.20,"15,302",15.04.20,"49,90",15.04.20,"17,21",15.04.20,"92,50",15.04.20,"54,40",15.04.20,"196,00",15.04.20,"7,535",15.04.20,"141,00",15.04.20,"36,62",15.04.20,"28,82",15.04.20,"18,78",15.04.20,"108,30",15.04.20,"237,00",15.04.20,"37,05",15.04.20,"75,00",15.04.20,"28,24",15.04.20,"39,43",15.04.20,"2,509",15.04.20,"29,11",15.04.20,"68,20",15.04.20,"117,38"
16.04.20,14.04.20,"6,09",14.04.20,"19,995",14.04.20,"9,266",14.04.20,"134,60",14.04.20,"45,00",14.04.20,"94,05",14.04.20,"66,40",14.04.20,"12,515",14.04.20,"23,73",14.04.20,"16,63",14.04.20,"16,84",14.04.20,"49,86",14.04.20,"18,28",14.04.20,"94,66",14.04.20,"56,70",14.04.20,"208,50",14.04.20,"7,99",14.04.20,"142,40",14.04.20,"36,80",14.04.20,"28,82",14.04.20,"19,52",14.04.20,"112,00",14.04.20,"236,60",14.04.20,"37,46",14.04.20,"76,68",14.04.20,"28,80",14.04.20,"38,305",14.04.20,"2,587",14.04.20,"29,30",14.04.20,"74,90",14.04.20,"121,90"
15.04.20,09.04.20,"5,80",09.04.20,"19,55",09.04.20,"9,178",09.04.20,"131,50",09.04.20,"44,28",09.04.20,"95,40",09.04.20,"64,20",09.04.20,"12,365",09.04.20,"22,58",09.04.20,"16,31",09.04.20,"16,232",09.04.20,"49,80",09.04.20,"17,64",09.04.20,"90,84",09.04.20,"54,50",09.04.20,"202,00",09.04.20,"8,15",09.04.20,"141,00",09.04.20,"36,37",09.04.20,"28,68",09.04.20,"19,25",09.04.20,"110,00",09.04.20,"224,40",09.04.20,"36,48",09.04.20,"76,84",09.04.20,"28,28",09.04.20,"36,75",09.04.20,"2,478",09.04.20,"28,55",09.04.20,"69,35",09.04.20,"112,88"
14.04.20,08.04.20,"5,47",08.04.20,"19,395",08.04.20,"9,104",08.04.20,"128,80",08.04.20,"44,48",08.04.20,"92,20",08.04.20,"63,75",08.04.20,"12,365",08.04.20,"22,22",08.04.20,"16,125",08.04.20,"15,80",08.04.20,"49,76",08.04.20,"16,95",08.04.20,"89,84",08.04.20,"51,85",08.04.20,"198,00",08.04.20,"7,945",08.04.20,"139,00",08.04.20,"36,50",08.04.20,"28,78",08.04.20,"19,23",08.04.20,"105,00",08.04.20,"220,80",08.04.20,"36,04",08.04.20,"74,74",08.04.20,"27,78",08.04.20,"37,60",08.04.20,"2,448",08.04.20,"28,50",08.04.20,"67,50",08.04.20,"111,80"
13.04.20,07.04.20,"5,444",07.04.20,"19,205",07.04.20,"8,90",07.04.20,"125,80",07.04.20,"42,86",07.04.20,"89,50",07.04.20,"62,70",07.04.20,"12,385",07.04.20,"22,92",07.04.20,"16,125",07.04.20,"14,884",07.04.20,"49,80",07.04.20,"16,69",07.04.20,"90,98",07.04.20,"50,15",07.04.20,"196,20",07.04.20,"7,74",07.04.20,"136,60",07.04.20,"36,98",07.04.20,"28,74",07.04.20,"19,00",07.04.20,"103,68",07.04.20,"214,00",07.04.20,"35,87",07.04.20,"73,96",07.04.20,"27,12",07.04.20,"35,49",07.04.20,"2,412",07.04.20,"28,47",07.04.20,"63,30",07.04.20,"110,10"
12.04.20,06.04.20,"4,91",06.04.20,"18,68",06.04.20,"8,30",06.04.20,"119,70",06.04.20,"41,36",06.04.20,"89,65",06.04.20,"63,80",06.04.20,"12,185",06.04.20,"22,07",06.04.20,"15,815",06.04.20,"14,144",06.04.20,"49,80",06.04.20,"15,64",06.04.20,"91,00",06.04.20,"49,06",06.04.20,"198,00",06.04.20,"7,40",06.04.20,"135,40",06.04.20,"36,92",06.04.20,"28,60",06.04.20,"18,90",06.04.20,"101,40",06.04.20,"223,80",06.04.20,"35,965",06.04.20,"70,74",06.04.20,"27,00",06.04.20,"37,135",06.04.20,"2,334",06.04.20,"28,50",06.04.20,"62,65",06.04.20,"108,56"
11.04.20,03.04.20,"4,275",03.04.20,"18,40",03.04.20,"7,90",03.04.20,"113,50",03.04.20,"39,44",03.04.20,"84,00",03.04.20,"62,85",03.04.20,"11,64",03.04.20,"20,99",03.04.20,"15,71",03.04.20,"13,35",03.04.20,"49,78",03.04.20,"14,62",03.04.20,"88,80",03.04.20,"45,18",03.04.20,"188,80",03.04.20,"7,375",03.04.20,"128,40",03.04.20,"37,00",03.04.20,"28,66",03.04.20,"18,06",03.04.20,"97,35",03.04.20,"218,00",03.04.20,"34,25",03.04.20,"66,32",03.04.20,"26,68",03.04.20,"38,92",03.04.20,"2,293",03.04.20,"26,73",03.04.20,"57,35",03.04.20,"102,30"
10.04.20,02.04.20,"4,599",02.04.20,"18,605",02.04.20,"7,75",02.04.20,"113,00",02.04.20,"39,00",02.04.20,"82,50",02.04.20,"64,20",02.04.20,"11,65",02.04.20,"21,10",02.04.20,"16,04",02.04.20,"13,14",02.04.20,"49,76",02.04.20,"14,58",02.04.20,"88,02",02.04.20,"43,94",02.04.20,"192,00",02.04.20,"7,10",02.04.20,"127,80",02.04.20,"36,92",02.04.20,"28,56",02.04.20,"17,97",02.04.20,"97,23",02.04.20,"222,80",02.04.20,"35,66",02.04.20,"67,00",02.04.20,"27,06",02.04.20,"38,395",02.04.20,"2,291",02.04.20,"26,76",02.04.20,"61,30",02.04.20,"101,76"
09.04.20,01.04.20,"4,588",01.04.20,"17,87",01.04.20,"7,84",01.04.20,"113,70",01.04.20,"37,78",01.04.20,"86,10",01.04.20,"56,05",01.04.20,"11,52",01.04.20,"20,53",01.04.20,"15,75",01.04.20,"12,874",01.04.20,"49,84",01.04.20,"14,99",01.04.20,"90,70",01.04.20,"43,20",01.04.20,"192,80",01.04.20,"7,11",01.04.20,"127,20",01.04.20,"36,90",01.04.20,"28,62",01.04.20,"17,08",01.04.20,"98,10",01.04.20,"218,00",01.04.20,"35,985",01.04.20,"66,50",01.04.20,"27,00",01.04.20,"37,40",01.04.20,"2,259",01.04.20,"26,00",01.04.20,"62,30",01.04.20,"99,10"
08.04.20,31.03.20,"4,768",31.03.20,"19,00",31.03.20,"8,006",31.03.20,"116,90",31.03.20,"39,04",31.03.20,"88,35",31.03.20,"55,95",31.03.20,"11,814",31.03.20,"20,43",31.03.20,"16,065",31.03.20,"13,43",31.03.20,"49,78",31.03.20,"14,90",31.03.20,"90,05",31.03.20,"45,28",31.03.20,"196,00",31.03.20,"7,10",31.03.20,"130,80",31.03.20,"36,61",31.03.20,"28,56",31.03.20,"17,29",31.03.20,"102,80",31.03.20,"222,20",31.03.20,"36,045",31.03.20,"68,26",31.03.20,"27,30",31.03.20,"36,39",31.03.20,"2,259",31.03.20,"26,87",31.03.20,"65,70",31.03.20,"104,65"
07.04.20,30.03.20,"4,635",30.03.20,"19,10",30.03.20,"7,90",30.03.20,"112,40",30.03.20,"37,86",30.03.20,"88,90",30.03.20,"53,05",30.03.20,"11,986",30.03.20,"20,28",30.03.20,"15,85",30.03.20,"13,536",30.03.20,"49,74",30.03.20,"14,62",30.03.20,"90,80",30.03.20,"42,82",30.03.20,"187,50",30.03.20,"7,255",30.03.20,"130,90",30.03.20,"36,59",30.03.20,"28,48",30.03.20,"17,25",30.03.20,"102,18",30.03.20,"220,00",30.03.20,"35,635",30.03.20,"67,10",30.03.20,"26,20",30.03.20,"36,80",30.03.20,"2,195",30.03.20,"26,12",30.03.20,"69,60",30.03.20,"99,94"
06.04.20,27.03.20,"4,653",27.03.20,"17,94",27.03.20,"7,714",27.03.20,"103,80",27.03.20,"35,88",27.03.20,"83,95",27.03.20,"51,80",27.03.20,"11,702",27.03.20,"19,54",27.03.20,"15,79",27.03.20,"13,392",27.03.20,"49,56",27.03.20,"14,72",27.03.20,"91,40",27.03.20,"42,50",27.03.20,"177,00",27.03.20,"7,04",27.03.20,"126,60",27.03.20,"36,44",27.03.20,"28,46",27.03.20,"16,45",27.03.20,"99,87",27.03.20,"212,00",27.03.20,"33,505",27.03.20,"66,52",27.03.20,"25,43",27.03.20,"34,50",27.03.20,"2,157",27.03.20,"24,99",27.03.20,"64,00",27.03.20,"99,66"
05.04.20,26.03.20,"5,082",26.03.20,"19,13",26.03.20,"7,998",26.03.20,"104,50",26.03.20,"36,48",26.03.20,"91,05",26.03.20,"53,00",26.03.20,"11,972",26.03.20,"20,63",26.03.20,"16,75",26.03.20,"14,374",26.03.20,"49,96",26.03.20,"14,64",26.03.20,"96,45",26.03.20,"43,50",26.03.20,"164,00",26.03.20,"7,505",26.03.20,"138,50",26.03.20,"36,79",26.03.20,"28,60",26.03.20,"18,04",26.03.20,"103,96",26.03.20,"215,80",26.03.20,"36,09",26.03.20,"70,00",26.03.20,"25,91",26.03.20,"33,91",26.03.20,"2,172",26.03.20,"25,62",26.03.20,"63,20",26.03.20,"101,50"
04.04.20,25.03.20,"5,126",25.03.20,"17,94",25.03.20,"7,70",25.03.20,"105,10",25.03.20,"36,94",25.03.20,"83,10",25.03.20,"48,82",25.03.20,"11,99",25.03.20,"21,11",25.03.20,"16,55",25.03.20,"13,99",25.03.20,"49,70",25.03.20,"14,20",25.03.20,"91,65",25.03.20,"44,68",25.03.20,"172,00",25.03.20,"7,74",25.03.20,"134,30",25.03.20,"36,86",25.03.20,"28,38",25.03.20,"16,12",25.03.20,"99,00",25.03.20,"208,60",25.03.20,"34,62",25.03.20,"64,94",25.03.20,"25,13",25.03.20,"31,70",25.03.20,"2,227",25.03.20,"25,46",25.03.20,"60,60",25.03.20,"104,50"
03.04.20,24.03.20,"4,931",24.03.20,"17,35",24.03.20,"7,388",24.03.20,"102,60",24.03.20,"36,38",24.03.20,"79,45",24.03.20,"51,30",24.03.20,"12,034",24.03.20,"19,98",24.03.20,"16,75",24.03.20,"13,07",24.03.20,"49,18",24.03.20,"14,72",24.03.20,"84,30",24.03.20,"43,24",24.03.20,"180,00",24.03.20,"7,545",24.03.20,"129,70",24.03.20,"36,50",24.03.20,"28,40",24.03.20,"16,37",24.03.20,"99,32",24.03.20,"208,60",24.03.20,"36,225",24.03.20,"60,44",24.03.20,"24,91",24.03.20,"31,63",24.03.20,"2,259",24.03.20,"25,53",24.03.20,"61,80",24.03.20,"96,92"
02.04.20,23.03.20,"3,90",23.03.20,"16,63",23.03.20,"7,00",23.03.20,"96,70",23.03.20,"35,36",23.03.20,"75,00",23.03.20,"47,04",23.03.20,"11,462",23.03.20,"19,01",23.03.20,"15,355",23.03.20,"11,468",23.03.20,"48,60",23.03.20,"14,39",23.03.20,"78,10",23.03.20,"36,92",23.03.20,"171,50",23.03.20,"5,66",23.03.20,"120,60",23.03.20,"35,43",23.03.20,"27,98",23.03.20,"14,55",23.03.20,"92,14",23.03.20,"202,00",23.03.20,"34,56",23.03.20,"51,16",23.03.20,"23,84",23.03.20,"29,51",23.03.20,"2,202",23.03.20,"25,00",23.03.20,"56,90",23.03.20,"84,90"
01.04.20,20.03.20,"3,806",20.03.20,"16,75",20.03.20,"6,756",20.03.20,"95,55",20.03.20,"35,48",20.03.20,"78,25",20.03.20,"49,22",20.03.20,"12,086",20.03.20,"19,605",20.03.20,"15,75",20.03.20,"11,474",20.03.20,"48,04",20.03.20,"14,65",20.03.20,"81,80",20.03.20,"36,26",20.03.20,"175,50",20.03.20,"6,035",20.03.20,"116,80",20.03.20,"35,76",20.03.20,"27,82",20.03.20,"15,15",20.03.20,"91,26",20.03.20,"203,00",20.03.20,"34,075",20.03.20,"51,26",20.03.20,"23,53",20.03.20,"30,47",20.03.20,"2,275",20.03.20,"25,26",20.03.20,"58,40",20.03.20,"87,22"
31.03.20,19.03.20,"3,55",19.03.20,"16,35",19.03.20,"6,262",19.03.20,"88,25",19.03.20,"35,26",19.03.20,"73,45",19.03.20,"47,90",19.03.20,"11,538",19.03.20,"19,40",19.03.20,"15,975",19.03.20,"11,22",19.03.20,"46,96",19.03.20,"13,82",19.03.20,"72,20",19.03.20,"35,76",19.03.20,"178,00",19.03.20,"6,025",19.03.20,"114,70",19.03.20,"35,64",19.03.20,"26,72",19.03.20,"14,88",19.03.20,"87,63",19.03.20,"197,50",19.03.20,"34,625",19.03.20,"54,84",19.03.20,"22,60",19.03.20,"29,56",19.03.20,"2,133",19.03.20,"24,19",19.03.20,"56,90",19.03.20,"83,24"
