Kürzel,/apple-aktie,/apple-aktie
Datum,Apple,Apple
24.04.20,24.04.20,"258,15"
23.04.20,23.04.20,"258,80"
22.04.20,22.04.20,"252,60"
21.04.20,21.04.20,"246,00"
20.04.20,20.04.20,"258,25"
17.04.20,17.04.20,"257,95"
16.04.20,16.04.20,"264,70"
15.04.20,15.04.20,"259,95"
14.04.20,14.04.20,"259,80"
09.04.20,09.04.20,"243,25"
08.04.20,08.04.20,"244,10"
07.04.20,07.04.20,"244,00"
06.04.20,06.04.20,"234,55"
03.04.20,03.04.20,"224,75"
02.04.20,02.04.20,"222,90"
01.04.20,01.04.20,"225,20"
31.03.20,31.03.20,"236,80"
30.03.20,30.03.20,"229,15"
27.03.20,27.03.20,"226,45"
26.03.20,26.03.20,"231,05"
25.03.20,25.03.20,"234,55"
24.03.20,24.03.20,"224,80"
23.03.20,23.03.20,"204,30"
20.03.20,20.03.20,"230,10"
19.03.20,19.03.20,"230,05"
18.03.20,18.03.20,"225,85"
17.03.20,17.03.20,"230,45"
16.03.20,16.03.20,"227,85"
13.03.20,13.03.20,"234,45"
12.03.20,12.03.20,"226,15"
11.03.20,11.03.20,"246,85"
10.03.20,10.03.20,"241,80"
09.03.20,09.03.20,"238,55"
06.03.20,06.03.20,"253,20"
05.03.20,05.03.20,"266,40"
04.03.20,04.03.20,"266,85"
03.03.20,03.03.20,"263,80"
02.03.20,02.03.20,"260,05"
28.02.20,28.02.20,"245,65"
27.02.20,27.02.20,"255,50"
26.02.20,26.02.20,"272,50"
25.02.20,25.02.20,"265,00"
24.02.20,24.02.20,"275,35"
21.02.20,21.02.20,"295,50"
20.02.20,20.02.20,"296,00"
19.02.20,19.02.20,"300,45"
18.02.20,18.02.20,"293,15"
17.02.20,17.02.20,"300,40"
14.02.20,14.02.20,"299,65"
13.02.20,13.02.20,"300,10"
12.02.20,12.02.20,"297,70"
11.02.20,11.02.20,"294,90"
10.02.20,10.02.20,"292,55"
07.02.20,07.02.20,"294,80"
06.02.20,06.02.20,"293,85"
05.02.20,05.02.20,"290,90"
04.02.20,04.02.20,"289,05"
03.02.20,03.02.20,"282,70"
