Datum,/apple-aktie,/apple-aktie.1,/wirecard-aktie,/wirecard-aktie.1
17.04.2020,17.04.2020,261.65,17.04.2020,119.92
16.04.2020,16.04.2020,264.7,16.04.2020,118.88
15.04.2020,15.04.2020,259.95,15.04.2020,117.38
14.04.2020,14.04.2020,259.8,14.04.2020,121.9
09.04.2020,09.04.2020,243.25,09.04.2020,112.88
08.04.2020,08.04.2020,244.1,08.04.2020,111.8
07.04.2020,07.04.2020,244.0,07.04.2020,110.1
06.04.2020,06.04.2020,234.55,06.04.2020,108.56
03.04.2020,03.04.2020,224.75,03.04.2020,102.3
02.04.2020,02.04.2020,222.9,02.04.2020,101.76
01.04.2020,01.04.2020,225.2,01.04.2020,99.1
31.03.2020,31.03.2020,236.8,31.03.2020,104.65
30.03.2020,30.03.2020,229.15,30.03.2020,99.94
27.03.2020,27.03.2020,226.45,27.03.2020,99.66
26.03.2020,26.03.2020,231.05,26.03.2020,101.5
25.03.2020,25.03.2020,234.55,25.03.2020,104.5
24.03.2020,24.03.2020,224.8,24.03.2020,96.92
23.03.2020,23.03.2020,204.3,23.03.2020,84.9
20.03.2020,20.03.2020,230.1,20.03.2020,87.22
19.03.2020,19.03.2020,230.05,19.03.2020,83.24
18.03.2020,18.03.2020,225.85,18.03.2020,83.5
17.03.2020,17.03.2020,230.45,17.03.2020,86.74
16.03.2020,16.03.2020,227.85,16.03.2020,90.76
13.03.2020,13.03.2020,234.45,13.03.2020,89.7
12.03.2020,12.03.2020,226.15,12.03.2020,85.86
11.03.2020,11.03.2020,246.85,11.03.2020,104.6
10.03.2020,10.03.2020,241.8,10.03.2020,104.35
09.03.2020,09.03.2020,238.55,09.03.2020,104.95
06.03.2020,06.03.2020,253.2,06.03.2020,114.45
05.03.2020,05.03.2020,266.4,05.03.2020,117.85
04.03.2020,04.03.2020,266.85,04.03.2020,118.5
03.03.2020,03.03.2020,263.8,03.03.2020,121.55
02.03.2020,02.03.2020,260.05,02.03.2020,116.6
28.02.2020,28.02.2020,245.65,28.02.2020,114.95
27.02.2020,27.02.2020,255.5,27.02.2020,119.15
26.02.2020,26.02.2020,272.5,26.02.2020,124.4
25.02.2020,25.02.2020,265.0,25.02.2020,125.15
24.02.2020,24.02.2020,275.35,24.02.2020,128.4
21.02.2020,21.02.2020,295.5,21.02.2020,133.7
20.02.2020,20.02.2020,296.0,20.02.2020,135.4
19.02.2020,19.02.2020,300.45,19.02.2020,137.2
18.02.2020,18.02.2020,293.15,18.02.2020,133.5
17.02.2020,17.02.2020,300.4,17.02.2020,136.1
14.02.2020,14.02.2020,299.65,14.02.2020,138.9
13.02.2020,13.02.2020,300.1,13.02.2020,143.9
12.02.2020,12.02.2020,297.7,12.02.2020,144.0
11.02.2020,11.02.2020,294.9,11.02.2020,142.9
10.02.2020,10.02.2020,292.55,10.02.2020,139.95
07.02.2020,07.02.2020,294.8,07.02.2020,138.75
06.02.2020,06.02.2020,293.85,06.02.2020,140.0
05.02.2020,05.02.2020,290.9,05.02.2020,138.05
04.02.2020,04.02.2020,289.05,04.02.2020,138.15
03.02.2020,03.02.2020,282.7,03.02.2020,132.5
